участник,мама,папа,сестра,брат,родители,тетя,дядя,внучка,внук,бабушка,дедушка,сын,дочь,возраст,возраст_категория,город,город_категория,город_центр,пол,пол_категория,(non)Native
229,1,1,2,2,1,2,2,дактиль,дактиль,2,7,3,4,20,0,Белгород,1,1,woman,1,1
230,1,1,2,2,1,,,,,,,2,4,21,0,Москва,6,1,woman,1,0
231,2,1,2,2,1,2,2,1+2,3+2,1,2,1,4,37,1,Москва,6,1,woman,1,1
232,1,1,2,2,1,2,3,7,дактиль,1,1,3,6,52,1,Нижний Новгород,4,0,woman,1,0
233,1,1,2,2,1,2,2,дактиль,дактиль,1,1,1,1,23,0,Москва,6,1,woman,1,0
234,1,1,2,2,1,,1,дактиль,дактиль,7,6,3,4,40,1,Новосибирск,5,0,woman,1,1
235,1,1,3,2,1,2,2,5+9,10,2,1,1,1,46,1,Челябинск,5,0,woman,1,1
237,1,1,6,5,1,2,2,дактиль,дактиль,1,2,2,4,28,1,Пермь,4,0,woman,1,1
238,1,1,,,1,,,,,,,,,30,1,Самара,4,0,men,0,1
239,1,1,,,1,,,,,,,,,26,1,Санкт-Петербург,2,0,men,0,0
240,1,1,3,3,1,2,5,1+2,3+2,1,2,2,4,38,1,Москва,6,1,woman,1,0
242,2,3,2,2,1,2,2,1+2,1,1,5,1,4,38,1,Москва,6,1,woman,1,0
243,1,1,2,2,3+2,2,3,дактиль,дактиль,1,1,3,4,19,0,Казань,4,0,men,0,0
244,1,1,2,2,1,2,2,дактиль,дактиль,2,3,1,4,29,1,Ульяновск,4,0,woman,1,0
245,1,1,2,2,1,2,2,дактиль,дактиль,1,5,1,1,14,0,Москва,6,1,men,0,1
248,1,1,3,2,1,2,2,,дактиль,1,1,2,1,47,1,Москва,6,1,woman,1,1
249,1,1,2,2,1,8,1,5+6+дактиль,6+дактиль+7,1,1,3,4,43,1,NA,NA,NA,woman,1,1
252,1,2,2,2,1,2,2,дактиль,дактиль,2,3,1,2,32,1,Армавир,3,0,men,0,0
253,1,1,2,2,1,,2,дактиль,дактиль,2,1,3,2,22,0,Ульяновск,4,0,woman,1,1
254,1,1,2,2,1,2,3,12+1,дактиль,4,2,1,2,45,1,NA,NA,NA,woman,1,0
256,1,3,2,,2+3,2,6,5+дактиль,дактиль,2,10,3,2,37,1,Новосибирск,5,0,woman,1,0
257,1,1,3,2,1,2,2,дактиль,дактиль,1,2,1,1,26,1,Москва,6,1,woman,1,0
258,1,1,1,1,1,12,2,дактиль,дактиль,2,2,1,2,23,0,Харьков,5,0,woman,1,1
259,1,1,3,2,1,2,2,1,дактиль,1,1,1,1,27,1,Москва,6,1,woman,1,1
260,1,1,4,1,1,13,1,дактиль,дактиль,1,5,1,5,51,1,Санкт-Петербург,2,0,woman,1,1
262,1,1,2,2,1,2,4,дактиль,дактиль,3,3,3,2,38,1,NA,NA,NA,woman,1,1
263,2,3,2,2,1,2,6,дактиль,дактиль,5,1,3,4,36,1,Екатеринбург,5,0,woman,1,0
265,1,3,2,2,1,2,2,дактиль,дактиль,2,3,1,2,26,1,Иваново,1,1,men,0,0
266,2,3,2,2,1,2,2,дактиль,дактиль,1,1,3,2,20,0,Зеленоград,1,1,woman,1,0
267,1,1,2,2,3+2,2,2,1,3+дактиль,1,1,1,4,27,1,Москва,6,1,woman,1,0
268,1,3,2,2,1,2,3,дактиль,дактиль,1,5,3,4,NA,1,Екатеринбург,5,0,woman,1,0
269,1,1,3,2,1,2,2,дактиль,дактиль,1,1,1,4,33,1,Москва,6,1,woman,1,0
270,2,3,,2,1,,,,,,,3,2,30,1,Новокузнецк,5,0,woman,1,0
271,1,,,,3+2,,,,,,,,,33,1,Тула,1,1,woman,1,1
273,2,1,2,2,1,2,6,дактиль,дактиль,1,1,3,2,24,0,Алтайский край,5,0,woman,1,0
275,1,1,2,2,2+3,2,2,5+2,6+2,2,3,1,4,32,1,Николаев,5,0,woman,1,0
277,2,3,4,2,3+2,2,3,дактиль,дактиль,2,1,3,4,31,1,Красноярск,5,0,woman,1,0
278,1,1,2,2,3+2,4,2,дактиль,3+2,2,8,1,4,15,0,NA,NA,NA,woman,1,0
